 (2.044919490814208984e+00+0.000000000000000000e+00j)  (4.040753819637997457e-03+-2.136942531344991313e-05j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.531257330426895108e-03+-5.740177962563025550e-04j)
 (1.954657793045043945e+00+0.000000000000000000e+00j)  (3.993990594349877687e-03+2.156578296536933536e-05j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.516924386361545411e-03+-5.668849920612740881e-04j)
 (1.870114088058471680e+00+0.000000000000000000e+00j)  (3.947827116354275280e-03+6.335961805445052865e-05j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.503155188427980410e-03+-5.541499985714101132e-04j)
 (1.790874481201171875e+00+0.000000000000000000e+00j)  (3.902197698323352747e-03+1.039062486206696425e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.490146998439601314e-03+-5.419960736101897677e-04j)
 (1.716562390327453613e+00+0.000000000000000000e+00j)  (3.857054173063300187e-03+1.431932397840043750e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.478443244179136837e-03+-5.281849961006114015e-04j)
 (1.646834492683410645e+00+0.000000000000000000e+00j)  (3.812335788645989255e-03+1.811529230953926213e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.468444284952418171e-03+-5.150580673855241227e-04j)
 (1.581373095512390137e+00+0.000000000000000000e+00j)  (3.767984101848945774e-03+2.177723714485503320e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.458323718007339433e-03+-5.001281890149915582e-04j)
 (1.519895792007446289e+00+0.000000000000000000e+00j)  (3.723948307818133324e-03+2.530120963872863863e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.447848494507052121e-03+-4.853040416047764687e-04j)
 (1.462138891220092773e+00+0.000000000000000000e+00j)  (3.680194848004773086e-03+2.868444849728427753e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.439559790106604686e-03+-4.675904846354813097e-04j)
 (1.407873392105102539e+00+0.000000000000000000e+00j)  (3.636643375744279608e-03+3.192361393710759095e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.429610987904256442e-03+-4.503183336449134624e-04j)
 (1.356884598731994629e+00+0.000000000000000000e+00j)  (3.593286158262860505e-03+3.501520161101644222e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.421427275442832452e-03+-4.336613776259299366e-04j)
 (1.308980703353881836e+00+0.000000000000000000e+00j)  (3.550096081181103921e-03+3.796017073630807885e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.416474882748733300e-03+-4.125131851858148562e-04j)
 (1.263988614082336426e+00+0.000000000000000000e+00j)  (3.507004771672148687e-03+4.075207573725547826e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.411280881711417636e-03+-3.948592234151465262e-04j)
 (1.221751332283020020e+00+0.000000000000000000e+00j)  (3.463980274737484249e-03+4.339272717980113651e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.403967711445773059e-03+-3.762236019263274860e-04j)
 (1.182122945785522461e+00+0.000000000000000000e+00j)  (3.421022288719510231e-03+4.588108811281289357e-04j)  (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.397618530797630669e-03+-3.566300497263470422e-04j)
